       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
       7.287610     2953.626987     2436.320350     2337.508340   4.2 8.973 9.567 9.647     1922.694653         1849.36   4.0
      19.352630     2943.668260     1498.920950     1490.520220   0.6 12.932 12.473 12.774     1291.803557         1295.79  -0.3
      17.624737     2940.984590     1457.963730     1440.329650   1.2 17.115 15.544 16.079     1368.434035         1371.16  -0.2
      12.037490     2938.037503     1427.799840     1404.473970   1.7 21.962 19.101 19.908     1467.116657         1471.48  -0.3
       4.468507     2954.564987     2535.133360     2515.118080   0.8 9.535 9.980 10.091     2026.819936         2017.79   0.4
      29.655613     2942.006030      620.033250      635.015700  -2.4 9.894 10.243 10.374      499.795958         513.954  -2.8
      25.506343     2932.069567      924.269390      859.868390   7.5 21.430 18.711 19.488      940.696696         891.856   5.5
      41.344250     2932.915080      382.396210      369.043510   3.6 13.185 12.659 12.974      331.334151         322.674   2.7
       5.902710     2953.770513     2443.335970     2377.271610   2.8 9.529 9.976 10.086     1953.180828         1906.95   2.4
      47.616900     2935.080010      279.749880      313.738410 -10.8 9.020 9.602 9.684      221.014087         248.511 -11.1
      10.503073     2945.188063     1932.483460     1892.492960   2.1 15.512 14.367 14.812     1756.953908         1741.68   0.9
      36.243910     2940.004490      495.749420      438.788220  13.0 8.096 8.923 8.953      383.252751          339.55  12.9
      52.780840     2932.369900      460.003320      481.042010  -4.4 10.630 10.783 10.956      377.012862         396.328  -4.9
      12.711843     2948.606440     2178.144010     2135.133700   2.0 11.394 11.344 11.559     1815.693763         1791.32   1.4
      47.604390     2936.036023      272.777990      308.604210 -11.6 8.064 8.900 8.929      210.720703         238.617 -11.7
      16.195120     2948.410547     2033.520240     2038.044110  -0.2 9.689 10.093 10.213     1631.546983         1641.27  -0.6
