       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
      45.697897     2932.523153      344.615800      362.571840  -5.0 11.977 11.001 12.020      284.314997         308.365  -7.8
      30.241597     2940.422143      590.469500      595.220200  -0.8 10.678 10.149 10.994      474.570244          490.96  -3.3
      34.392137     2933.721373      616.626740      528.116700  16.8 15.779 13.495 15.023      547.175677         488.813  11.9
      50.360573     2935.241873      402.792440      429.956970  -6.3 8.158 8.496 9.003      307.086228         333.248  -7.9
      36.352933     2934.588980      516.135690      447.377380  15.4 13.511 12.007 13.232      438.808567         394.047  11.4
       1.145273     2932.295007     1377.563640     1333.147620   3.3 34.305 25.648 29.659     1640.956039         1721.72  -4.7
      44.270157     2937.474740      303.452730      330.190480  -8.1 7.625 8.146 8.582      228.698430         252.447  -9.4
      23.165040     2944.260530     1024.134140     1107.258500  -7.5 10.739 10.189 11.042      824.148636         914.656  -9.9
      16.899367     2948.990060     1876.955200     2031.632860  -7.6 9.110 9.120 9.755     1460.276697         1612.85  -9.5
      12.418057     2939.372200     1585.343010     1453.068760   9.1 20.628 16.676 18.854     1532.861442         1484.09   3.3
       0.989417     2956.028810     2527.502270     2881.833560 -12.3 10.571 10.079 10.909     2026.974539         2370.97 -14.5
       8.008167     2953.172333     2631.753500     2295.514820  14.6 9.428 9.329 10.006     2061.225324         1836.75  12.2
      17.854243     2945.476813     1688.882650     1713.962360  -1.5 11.823 10.900 11.898     1389.106284         1452.51  -4.4
       7.287610     2953.626987     2665.851230     2337.508340  14.0 8.973 9.030 9.647     2068.053717         1849.36  11.8
      19.352630     2943.668260     1475.538310     1490.520220  -1.0 12.932 11.627 12.774     1240.456204         1295.79  -4.3
      17.624737     2940.984590     1493.658150     1440.329650   3.7 17.115 14.372 16.079     1358.172300         1371.16  -0.9
      12.037490     2938.037503     1533.505450     1404.473970   9.2 21.962 17.551 19.908     1516.306847         1471.48   3.0
       4.468507     2954.564987     2529.162660     2515.118080   0.6 9.535 9.399 10.091     1985.327327         2017.79  -1.6
      29.655613     2942.006030      583.905540      635.015700  -8.0 9.894 9.634 10.374      461.788144         513.954 -10.1
      25.506343     2932.069567      969.686230      859.868390  12.8 21.430 17.202 19.488      950.349663         891.856   6.6
      41.344250     2932.915080      379.099030      369.043510   2.7 13.185 11.793 12.974      320.275217         322.674  -0.7
       5.902710     2953.770513     2584.701220     2377.271610   8.7 9.529 9.395 10.086     2028.689391         1906.95   6.4
      47.616900     2935.080010      276.588300      313.738410 -11.8 9.020 9.061 9.684      214.778498         248.511 -13.6
      10.503073     2945.188063     2066.445950     1892.492960   9.2 15.512 13.320 14.812     1824.662783         1741.68   4.8
      36.243910     2940.004490      506.490800      438.788220  15.4 8.096 8.455 8.953      385.625034          339.55  13.6
      52.780840     2932.369900      475.345420      481.042010  -1.2 10.630 10.117 10.956      381.670795         396.328  -3.7
      12.711843     2948.606440     2107.931420     2135.133700  -1.3 11.394 10.618 11.559     1718.921754         1791.32  -4.0
      47.604390     2936.036023      267.324710      308.604210 -13.4 8.064 8.434 8.929      203.393783         238.617 -14.8
